2334456,234,34|3,0,0|3,3,0|0
3445567,345,45|4,0,0|4,4,0|0
4556678,456,56|5,0,0|5,5,0|0
5667789,567,67|6,0,0|6,6,0|0
1233445,123,23|4,0,0|4,2,0|0
2344556,234,34|5,0,0|5,3,0|0
3455667,345,45|6,0,0|6,4,0|0
4566778,456,56|7,0,0|7,5,0|0
5677889,567,67|8,0,0|8,6,0|0
123345,1234,23|0,4,0|24,0,0|0
234456,2345,34|0,5,0|35,0,0|0
345567,3456,45|0,6,0|46,0,0|0
456678,4567,56|0,7,0|57,0,0|0
567789,5678,67|0,8,0|68,0,0|0
123345,112344,23|0,1,0|24,0,0|0
234456,223455,34|0,2,0|35,0,0|0
345567,334566,45|0,3,0|46,0,0|0
456678,445677,56|0,4,0|57,0,0|0
567789,556788,67|0,5,0|68,0,0|0
234456,1234,34|0,1,0|35,0,0|0
345567,2345,45|0,2,0|46,0,0|0
456678,3456,56|0,3,0|57,0,0|0
567789,4567,67|0,4,0|68,0,0|0
234456,112344,34|0,4,0|35,0,0|0
456678,334566,56|0,6,0|57,0,0|0
567789,445677,67|0,7,0|68,0,0|0
456678,3456,4567|0,3,4|57,0,0|0
567789,4567,5678|0,4,5|68,0,0|0
123345,123,22344|0,0,2|24,2,0|0
567789,567,66788|0,0,6|68,6,0|0
234456,234,22344|0,0,4|35,3,0|0
456678,456,44566|0,0,6|57,5,0|0
567789,567,55677|0,0,7|68,6,0|0
2334456,345,23|3,0,0|3,4,0|0
3445567,456,34|4,0,0|4,5,0|0
4556678,567,45|5,0,0|5,6,0|0
5667789,678,56|6,0,0|6,7,0|0
2344556,345,23|5,0,0|5,4,0|0
3455667,456,34|6,0,0|6,5,0|0
4566778,567,45|7,0,0|7,6,0|0
5677889,678,56|8,0,0|8,7,0|0
234456,2345,23|0,2,0|35,0,0|0
345567,3456,34|0,3,0|46,0,0|0
456678,4567,45|0,4,0|57,0,0|0
567789,5678,56|0,5,0|68,0,0|0
234456,223455,23|0,5,0|35,0,0|0
345567,334566,34|0,6,0|46,0,0|0
456678,445677,45|0,7,0|57,0,0|0
567789,556788,56|0,8,0|68,0,0|0
234456,3456,23|0,6,0|35,0,0|0
345567,4567,34|0,7,0|46,0,0|0
456678,5678,45|0,8,0|57,0,0|0
567789,6789,56|0,9,0|68,0,0|0
234456,334566,23|0,3,0|35,0,0|0
345567,445677,34|0,4,0|46,0,0|0
456678,556788,45|0,5,0|57,0,0|0
567789,667899,56|0,6,0|68,0,0|0
345567,4567,2345|0,7,0|46,0,0|0
456678,5678,3456|0,8,0|57,0,0|0
567789,6789,4567|0,9,0|68,0,0|0
234456,345,22344|0,0,2|35,4,0|0
456678,567,44566|0,0,4|57,6,0|0
567789,678,55677|0,0,5|68,7,0|0
345567,456,22344|0,0,4|46,5,0|0
456678,567,33455|0,0,5|57,6,0|0
567789,678,44566|0,0,6|68,7,0|0
1223345,234,45|2,0,0|2,3,0|0
2334456,345,56|3,0,0|3,4,0|0
3445567,456,67|4,0,0|4,5,0|0
4556678,567,78|5,0,0|5,6,0|0
1233445,234,45|4,0,0|4,3,0|0
2344556,345,56|5,0,0|5,4,0|0
3455667,456,67|6,0,0|6,5,0|0
4566778,567,78|7,0,0|7,6,0|0
123345,1234,45|0,1,0|24,0,0|0
234456,2345,56|0,2,0|35,0,0|0
345567,3456,67|0,3,0|46,0,0|0
456678,4567,78|0,4,0|57,0,0|0
123345,112344,45|0,4,0|24,0,0|0
234456,223455,56|0,5,0|35,0,0|0
345567,334566,67|0,6,0|46,0,0|0
456678,445677,78|0,7,0|57,0,0|0
123345,1234,3456|0,1,0|24,0,0|0
234456,2345,4567|0,2,0|35,0,0|0
345567,3456,5678|0,3,0|46,0,0|0
123345,2345,45|0,5,0|24,0,0|0
234456,3456,56|0,6,0|35,0,0|0
345567,4567,67|0,7,0|46,0,0|0
456678,5678,78|0,8,0|57,0,0|0
123345,223455,45|0,2,0|24,0,0|0
234456,334566,56|0,3,0|35,0,0|0
345567,445677,67|0,4,0|46,0,0|0
456678,556788,78|0,5,0|57,0,0|0
123345,2345,3456|0,5,6|24,0,0|0
234456,3456,4567|0,6,7|35,0,0|0
345567,4567,5678|0,7,8|46,0,0|0
456678,5678,6789|0,8,9|57,0,0|0
123345,234,44566|0,0,4|24,3,0|0
345567,456,66788|0,0,6|46,5,0|0
123345,234,33455|0,0,5|24,3,0|0
456678,567,66788|0,0,8|57,6,0|0
1223345,345,34|2,0,0|2,4,0|0
2334456,456,45|3,0,0|3,5,0|0
3445567,567,56|4,0,0|4,6,0|0
4556678,678,67|5,0,0|5,7,0|0
5667789,789,78|6,0,0|6,8,0|0
1233445,345,34|4,0,0|4,4,0|0
2344556,456,45|5,0,0|5,5,0|0
3455667,567,56|6,0,0|6,6,0|0
4566778,678,67|7,0,0|7,7,0|0
123345,2345,34|0,2,0|24,0,0|0
234456,3456,45|0,3,0|35,0,0|0
345567,4567,56|0,4,0|46,0,0|0
456678,5678,67|0,5,0|57,0,0|0
567789,6789,78|0,6,0|68,0,0|0
123345,223455,34|0,5,0|24,0,0|0
234456,334566,45|0,6,0|35,0,0|0
345567,445677,56|0,7,0|46,0,0|0
456678,556788,67|0,8,0|57,0,0|0
567789,667899,78|0,9,0|68,0,0|0
123345,3456,34|0,6,0|24,0,0|0
234456,4567,45|0,7,0|35,0,0|0
345567,5678,56|0,8,0|46,0,0|0
456678,6789,67|0,9,0|57,0,0|0
123345,334566,34|0,3,0|24,0,0|0
234456,445677,45|0,4,0|35,0,0|0
456678,667899,67|0,6,0|57,0,0|0
123345,345,33455|0,0,3|24,4,0|0
456678,678,66788|0,0,6|57,7,0|0
123345,345,22344|0,0,4|24,4,0|0
456678,678,55677|0,0,7|57,7,0|0
567789,789,66788|0,0,8|68,8,0|0
1233445,123,34|1,0,0|4,2,0|0
2344556,234,45|2,0,0|5,3,0|0
3455667,345,56|3,0,0|6,4,0|0
4566778,456,67|4,0,0|7,5,0|0
5677889,567,78|5,0,0|8,6,0|0
2334456,123,34|6,0,0|3,2,0|0
3445567,234,45|7,0,0|4,3,0|0
4556678,345,56|8,0,0|5,4,0|0
5667789,456,67|9,0,0|6,5,0|0
344556,1234,45|0,1,0|45,0,0|0
455667,2345,56|0,2,0|56,0,0|0
566778,3456,67|0,3,0|67,0,0|0
677889,4567,78|0,4,0|78,0,0|0
344556,112344,45|0,4,0|45,0,0|0
566778,334566,67|0,6,0|67,0,0|0
677889,445677,78|0,7,0|78,0,0|0
455667,2345,4567|0,2,0|56,0,0|0
